restaurant_id,product_family_id,month,day_of_week,is_weekend,week_of_year,price_scaled,units_sold,qsp_score,operational_anomaly,units_lag_30,qsp_lag_30,units_lag_60,qsp_lag_60,units_rolling_mean_30,qsp_rolling_mean_30,units_rolling_mean_60,qsp_rolling_mean_60,anomaly_count_60d,region_Paris,region_Lyon,region_Marseille,region_Toulouse,region_Lille,region_Bordeaux,region_Nantes,region_Strasbourg,region_Rennes,region_Nice,cat_Poulet,cat_Sandwich,cat_Autre,cat_Boisson,cat_Dessert,gap_percentage
1,1,1,0,0,2,0.999722183631255,58,0.84,0,75.0,0.78,48.0,0.79,45.5,0.8360000000000001,48.0,0.79,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.970413194444442
1,2,1,0,0,2,-0.999722183631255,69,0.82,0,42.0,0.85,40.0,0.78,45.56666666666667,0.8383333333333333,44.0,0.785,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.620413194444436
1,4,1,0,0,2,-0.999722183631255,42,0.76,0,74.0,0.8,30.0,0.84,47.03333333333333,0.837,39.333333333333336,0.8033333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.93041319444445
1,7,1,1,0,2,0.999722183631255,32,0.88,0,54.0,0.83,21.0,0.79,50.03333333333333,0.8346666666666667,36.5,0.8300000000000001,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.260413194444426
1,3,1,1,0,2,0.999722183631255,74,0.86,0,30.0,0.93,31.0,0.87,50.0,0.8366666666666666,35.714285714285715,0.8357142857142856,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.250413194444457
1,8,1,1,0,2,-0.999722183631255,76,0.91,0,46.0,0.9,44.0,0.81,50.06666666666667,0.8396666666666667,36.75,0.8325,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.800413194444451
1,1,1,1,0,2,0.999722183631255,35,0.88,0,62.0,0.76,54.0,0.82,50.333333333333336,0.8376666666666667,38.666666666666664,0.8311111111111111,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.000413194444428
1,2,1,1,0,2,-0.999722183631255,35,0.83,0,73.0,0.79,44.0,0.75,51.3,0.8390000000000001,39.2,0.8230000000000001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.9004131944444578
1,4,1,1,0,2,-0.999722183631255,70,0.78,0,45.0,0.86,37.0,0.85,51.56666666666667,0.8393333333333334,39.0,0.8254545454545454,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5204131944444663
1,7,1,2,0,2,0.999722183631255,69,0.81,0,42.0,0.91,27.0,0.92,52.4,0.8420000000000001,39.214285714285715,0.8292857142857143,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.830413194444444
1,3,1,2,0,2,0.999722183631255,46,0.95,0,71.0,0.92,52.0,0.86,53.03333333333333,0.844,40.06666666666667,0.8313333333333334,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.630413194444442
1,8,1,2,0,2,-0.999722183631255,72,0.93,0,61.0,0.88,41.0,0.8,53.7,0.8466666666666668,40.125,0.829375,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.3004131944444355
1,1,1,2,0,2,0.999722183631255,51,0.88,0,43.0,0.8,33.0,0.89,54.03333333333333,0.8436666666666668,39.705882352941174,0.8329411764705883,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.520413194444449
1,2,1,2,0,2,-0.999722183631255,34,0.77,0,53.0,0.93,77.0,0.88,53.233333333333334,0.8453333333333334,41.77777777777778,0.8355555555555556,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.230413194444427
1,4,1,2,0,2,-0.999722183631255,28,0.82,0,41.0,0.78,54.0,0.87,52.8,0.8423333333333333,42.421052631578945,0.8373684210526315,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00041319444444
1,7,1,3,0,2,0.999722183631255,24,0.88,0,25.0,0.9,77.0,0.76,51.5,0.8443333333333334,45.40909090909091,0.8336363636363636,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.280413194444462
1,3,1,3,0,2,0.999722183631255,43,0.82,0,78.0,0.83,24.0,0.9,53.3,0.842,44.47826086956522,0.8365217391304348,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7004131944444563
1,8,1,3,0,2,-0.999722183631255,40,0.87,0,34.0,0.9,30.0,0.77,53.43333333333333,0.8463333333333334,43.875,0.8337500000000001,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.010413194444458
1,1,1,3,0,2,0.999722183631255,60,0.75,0,68.0,0.88,49.0,0.78,54.06666666666667,0.8496666666666667,44.08,0.8316,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.3504131944444517
1,2,1,3,0,2,-0.999722183631255,61,0.77,0,34.0,0.84,36.0,0.81,54.0,0.8506666666666667,43.76923076923077,0.8307692307692308,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8204131944444373
1,4,1,3,0,2,-0.999722183631255,52,0.85,0,78.0,0.81,68.0,0.87,54.333333333333336,0.8486666666666667,44.666666666666664,0.8322222222222222,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.08041319444446
1,7,1,4,0,2,0.999722183631255,23,0.93,0,53.0,0.81,21.0,0.9,55.1,0.8493333333333334,44.6,0.8363333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.350413194444445
1,3,1,4,0,2,0.999722183631255,65,0.82,0,58.0,0.84,75.0,0.78,54.53333333333333,0.8513333333333333,45.58064516129032,0.8345161290322581,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.380413194444444
1,8,1,4,0,2,-0.999722183631255,74,0.86,0,69.0,0.82,42.0,0.85,55.43333333333333,0.8503333333333334,45.46875,0.835,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.690413194444457
1,1,1,4,0,2,0.999722183631255,67,0.76,0,42.0,0.76,74.0,0.8,54.36666666666667,0.8490000000000001,46.333333333333336,0.833939393939394,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.840413194444431
1,2,1,4,0,2,-0.999722183631255,65,0.92,0,35.0,0.94,66.0,0.76,53.333333333333336,0.855,46.911764705882355,0.831764705882353,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.6804131944444576
