transaction_id,date,restaurant_id,restaurant_name,product_family,product_variant,theoretical_unit_cost,actual_unit_cost,selling_price,units_sold,waste_kg,qsp_score,operational_anomaly,anomaly_type,shift_type,weather_impact,revenue,theoretical_cos,actual_cos,cos_gap,gap_percentage,waste_cost,gap_severity
10001,2024-01-01,1,KFC Paris Louvre,Poulet Frit,Bucket 6 pièces,3.92,4.11,8.23,33,0.25,0.86,False,,midi,1.01,271.59000000000003,0.47630619684082615,0.4993924665856622,0.023086269744836074,4.846938775510227,0.98,MODÉRÉ
10002,2024-01-01,1,KFC Paris Louvre,Sandwichs,Cheese,2.84,2.97,6.52,55,0.22,0.92,False,,midi,0.91,358.59999999999997,0.43558282208588955,0.4555214723926381,0.019938650306748573,4.577464788732419,0.6248,MODÉRÉ
10003,2024-01-01,1,KFC Paris Louvre,Burger Poulet,Bacon Cheese,3.03,3.17,6.66,35,0.18,0.91,False,,soir,1.05,233.1,0.45495495495495497,0.475975975975976,0.021021021021021047,4.620462046204626,0.5454,MODÉRÉ
10004,2024-01-01,1,KFC Paris Louvre,Wraps & Salades,Salade Poulet,3.59,3.76,7.17,39,0.3,0.77,True,sous_cuisson,midi,0.93,279.63,0.500697350069735,0.5244072524407252,0.023709902370990132,4.735376044568224,1.077,MODÉRÉ
10005,2024-01-01,1,KFC Paris Louvre,Accompagnements,Frites Moyenne,1.47,1.54,3.68,59,0.59,0.9,False,,midi,1.05,217.12,0.39945652173913043,0.4184782608695652,0.019021739130434756,4.761904761904756,0.8673,MODÉRÉ
10006,2024-01-01,1,KFC Paris Louvre,Boissons,Coca 50cl,0.78,1.03,2.35,21,0.03,0.81,True,surconsommation,soir,1.14,49.35,0.33191489361702126,0.4382978723404255,0.10638297872340424,32.05128205128205,0.0234,CRITIQUE
10007,2024-01-01,1,KFC Paris Louvre,Desserts,Sundae Caramel,2.15,2.26,5.17,16,0.07,0.92,False,,midi,1.01,82.72,0.4158607350096712,0.437137330754352,0.021276595744680826,5.116279069767436,0.1505,ÉLEVÉ
10008,2024-01-01,1,KFC Paris Louvre,Petits Déjeuners,Petit Déj Complet,2.57,2.69,5.66,22,0.08,0.85,False,,midi,1.13,124.52000000000001,0.45406360424028264,0.47526501766784446,0.02120141342756182,4.669260700389103,0.2056,MODÉRÉ
10009,2024-01-01,2,KFC Lyon Part-Dieu,Poulet Frit,Bucket 6 pièces,4.9,4.82,10.29,40,0.3,0.98,False,,soir,1.09,411.59999999999997,0.4761904761904762,0.46841593780369295,-0.00777453838678327,-1.6326530612244865,1.47,FAIBLE
10010,2024-01-01,2,KFC Lyon Part-Dieu,Sandwichs,Spicy,2.93,2.88,6.75,46,0.18,0.94,False,,soir,1.13,310.5,0.43407407407407406,0.42666666666666664,-0.007407407407407418,-1.7064846416382278,0.5274,FAIBLE
10011,2024-01-01,2,KFC Lyon Part-Dieu,Burger Poulet,Deluxe,2.94,3.04,6.48,29,0.22,0.83,True,panne_equipement,midi,1.14,187.92000000000002,0.4537037037037037,0.4691358024691357,0.015432098765432,3.401360544217665,0.6468,MODÉRÉ
10012,2024-01-01,2,KFC Lyon Part-Dieu,Wraps & Salades,Salade Caesar,3.25,3.2,6.5,55,0.33,0.89,False,,midi,1.1,357.5,0.5,0.49230769230769234,-0.007692307692307665,-1.538461538461533,1.0725,FAIBLE
