transaction_id,date,restaurant_id,restaurant_name,product_family,theoretical_unit_cost,actual_unit_cost,selling_price,units_sold,revenue,waste_kg,qsp_score,operational_anomaly,calculated_gap_percentage,theoretical_cos,actual_cos,cos_gap,gap_percentage,gap_severity
10001,2024-01-01,1,KFC Paris Louvre,Poulet Frit,4.2,4.333157354166667,9.24,48,443.52,0.046,0.79,False,3.1704131944444445,0.45454545454545464,0.4689564236111112,0.014410969065656531,3.170413194444436,MODÉRÉ
10002,2024-01-01,1,KFC Paris Louvre,Sandwichs,2.8,2.8862515694444446,6.16,40,246.4,0.038,0.78,False,3.080413194444444,0.45454545454545453,0.46854733270202026,0.014001878156565728,3.08041319444446,MODÉRÉ
10003,2024-01-01,1,KFC Paris Louvre,Burger Poulet,3.1,3.1824728090277783,6.82,30,204.6,0.025,0.84,False,2.6604131944444442,0.4545454545454546,0.4666382417929294,0.012092787247474812,2.6604131944444585,MODÉRÉ
10004,2024-01-01,1,KFC Paris Louvre,Wraps & Salades,3.5,3.6060644618055555,7.7,59,454.3,0.055,0.89,False,3.0304131944444443,0.45454545454545453,0.46832005997474746,0.01377460542929293,3.030413194444445,MODÉRÉ
10005,2024-01-01,1,KFC Paris Louvre,Accompagnements,1.5,1.5453061979166667,3.3,21,69.3,0.02,0.89,False,3.0204131944444446,0.4545454545454546,0.46827460542929294,0.013729150883838359,3.020413194444439,MODÉRÉ
10006,2024-01-01,1,KFC Paris Louvre,Boissons,0.8,0.8243233055555556,1.76,21,36.96,0.02,0.79,False,3.0404131944444446,0.45454545454545453,0.468365514520202,0.013820059974747445,3.040413194444438,MODÉRÉ
10007,2024-01-01,1,KFC Paris Louvre,Desserts,2.2,2.256769090277778,4.84,31,150.04,0.025,0.87,False,2.580413194444444,0.4545454545454546,0.46627460542929305,0.011729150883838468,2.580413194444463,MODÉRÉ
10008,2024-01-01,1,KFC Paris Louvre,Petits Déjeuners,2.5,2.555260329861111,5.5,44,242.0,0.032,0.81,False,2.2104131944444445,0.45454545454545453,0.4645927872474747,0.010047332702020184,2.2104131944444405,MODÉRÉ
10009,2024-01-01,2,KFC Lyon Part-Dieu,Poulet Frit,4.2,4.301237354166666,9.24,61,563.64,0.047,0.76,False,2.4104131944444442,0.45454545454545453,0.46550187815656563,0.010956423611111099,2.410413194444442,MODÉRÉ
10010,2024-01-01,2,KFC Lyon Part-Dieu,Sandwichs,2.8,2.8635715694444444,6.16,34,209.44,0.025,0.84,False,2.2704131944444446,0.4545454545454545,0.46486551452020203,0.010320059974747553,2.270413194444462,MODÉRÉ
10011,2024-01-01,2,KFC Lyon Part-Dieu,Burger Poulet,3.1,3.171002809027778,6.82,70,477.4,0.052,0.83,False,2.2904131944444446,0.4545454545454546,0.4649564236111112,0.010410969065656639,2.2904131944444606,MODÉRÉ
10012,2024-01-01,2,KFC Lyon Part-Dieu,Wraps & Salades,3.5,3.5938144618055556,7.7,76,585.2,0.064,0.76,False,2.6804131944444443,0.45454545454545453,0.4667291508838384,0.012183696338383843,2.6804131944444456,MODÉRÉ
10013,2024-01-01,2,KFC Lyon Part-Dieu,Accompagnements,1.5,1.5391561979166666,3.3,40,132.0,0.033,0.84,False,2.6104131944444444,0.45454545454545453,0.46641096906565654,0.011865514520202014,2.610413194444443,MODÉRÉ
10014,2024-01-01,2,KFC Lyon Part-Dieu,Boissons,0.8,0.8088833055555557,1.76,44,77.44,0.02,0.94,False,1.1104131944444444,0.4545454545454546,0.45959278724747477,0.00504733270202018,1.1104131944444393,FAIBLE
10015,2024-01-01,2,KFC Lyon Part-Dieu,Desserts,2.2,2.248629090277778,4.84,28,135.52,0.02,0.75,False,2.2104131944444445,0.4545454545454546,0.46459278724747477,0.010047332702020184,2.2104131944444405,MODÉRÉ
10016,2024-01-01,2,KFC Lyon Part-Dieu,Petits Déjeuners,2.5,2.5357603298611107,5.5,47,258.5,0.025,0.84,False,1.4304131944444443,0.45454545454545453,0.46104733270202014,0.00650187815656561,1.4304131944444343,FAIBLE
10017,2024-01-01,3,KFC Marseille Vieux Port,Poulet Frit,4.2,4.532657354166667,9.24,27,249.48,0.058,0.76,True,7.920413194444444,0.4545454545454546,0.4905473327020203,0.03600187815656569,7.920413194444452,ÉLEVÉ
10018,2024-01-01,3,KFC Marseille Vieux Port,Sandwichs,2.8,3.029891569444444,6.16,55,338.8,0.123,0.79,True,8.210413194444445,0.45454545454545453,0.491865514520202,0.037320059974747466,8.210413194444442,ÉLEVÉ
10019,2024-01-01,3,KFC Marseille Vieux Port,Burger Poulet,3.1,3.356072809027778,6.82,25,170.5,0.056,0.79,True,8.260413194444446,0.45454545454545453,0.4920927872474748,0.037547332702020264,8.260413194444459,ÉLEVÉ
10020,2024-01-01,3,KFC Marseille Vieux Port,Wraps & Salades,3.5,3.7894644618055553,7.7,48,369.6,0.108,0.94,True,8.270413194444444,0.45454545454545453,0.49213824179292925,0.037592787247474724,8.27041319444444,ÉLEVÉ
10021,2024-01-01,3,KFC Marseille Vieux Port,Accompagnements,1.5,1.6317061979166667,3.3,53,174.9,0.126,0.83,True,8.780413194444446,0.45454545454545453,0.4944564236111111,0.039910969065656554,8.780413194444442,ÉLEVÉ
10022,2024-01-01,3,KFC Marseille Vieux Port,Boissons,0.8,0.8642433055555556,1.76,50,88.0,0.109,0.93,True,8.030413194444446,0.45454545454545453,0.4910473327020202,0.03650187815656569,8.030413194444453,ÉLEVÉ
10023,2024-01-01,3,KFC Marseille Vieux Port,Desserts,2.2,2.3647890902777777,4.84,42,203.28,0.086,0.85,True,7.490413194444444,0.4545454545454546,0.48859278724747474,0.03404733270202015,7.490413194444432,ÉLEVÉ
10024,2024-01-01,3,KFC Marseille Vieux Port,Petits Déjeuners,2.5,2.704010329861111,5.5,40,220.0,0.089,0.83,True,8.160413194444445,0.45454545454545453,0.4916382417929293,0.03709278724747478,8.160413194444452,ÉLEVÉ
10025,2024-01-01,4,KFC Toulouse Capitole,Poulet Frit,4.2,4.307957354166667,9.24,72,665.28,0.059,0.87,False,2.5704131944444444,0.45454545454545464,0.46622915088383843,0.011683696338383787,2.570413194444433,MODÉRÉ
10026,2024-01-01,4,KFC Toulouse Capitole,Sandwichs,2.8,2.877571569444444,6.16,79,486.64,0.068,0.86,False,2.7704131944444446,0.45454545454545453,0.4671382417929293,0.012592787247474757,2.770413194444447,MODÉRÉ
10027,2024-01-01,4,KFC Toulouse Capitole,Burger Poulet,3.1,3.166352809027778,6.82,34,231.88,0.024,0.78,False,2.1404131944444442,0.4545454545454546,0.46427460542929294,0.009729150883838356,2.140413194444438,MODÉRÉ
10028,2024-01-01,4,KFC Toulouse Capitole,Wraps & Salades,3.5,3.5777144618055554,7.7,28,215.6,0.02,0.9,False,2.2204131944444443,0.45454545454545453,0.4646382417929293,0.010092787247474755,2.220413194444446,MODÉRÉ
10029,2024-01-01,4,KFC Toulouse Capitole,Accompagnements,1.5,1.5405061979166668,3.3,43,141.9,0.037,0.75,False,2.7004131944444443,0.45454545454545453,0.46682005997474746,0.012274605429292929,2.7004131944444443,MODÉRÉ
10030,2024-01-01,4,KFC Toulouse Capitole,Boissons,0.8,0.8144033055555555,1.76,27,47.52,0.017,0.9,False,1.8004131944444444,0.45454545454545453,0.46272915088383837,0.008183696338383839,1.8004131944444446,FAIBLE
10031,2024-01-01,4,KFC Toulouse Capitole,Desserts,2.2,2.258749090277778,4.84,24,116.16,0.02,0.94,False,2.6704131944444445,0.4545454545454546,0.4666836963383839,0.012138241792929327,2.670413194444452,MODÉRÉ
10032,2024-01-01,4,KFC Toulouse Capitole,Petits Déjeuners,2.5,2.5587603298611112,5.5,47,258.5,0.036,0.92,False,2.350413194444444,0.45454545454545453,0.46522915088383837,0.010683696338383841,2.350413194444445,MODÉRÉ
10033,2024-01-01,5,KFC Lille Centre,Poulet Frit,4.2,4.406657354166667,9.24,53,489.72,0.075,0.77,False,4.9204131944444445,0.4545454545454546,0.47691096906565655,0.022365514520201968,4.920413194444433,MODÉRÉ
10034,2024-01-01,5,KFC Lille Centre,Sandwichs,2.8,2.9167715694444443,6.16,43,264.88,0.052,0.88,False,4.1704131944444445,0.45454545454545453,0.47350187815656564,0.018956423611111106,4.170413194444444,MODÉRÉ
